Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
114,Isaac Paredes,25,2TM,2LG,2.5,151,636,538,63,128,25,1,19,79,1,1,75,104,.238,.346,.394,.740,111,.331,114,212,17,17,0,6,2,*53D/H,AS,paredis01
115,Isaac Paredes,25,TBR,AL,2.2,101,429,363,41,89,19,1,16,55,0,1,52,68,.245,.357,.435,.792,127,.349,129,158,13,12,0,2,2,53D/H,,paredis01
116,Isaac Paredes,25,CHC,NL,0.2,50,207,175,22,39,6,0,3,24,1,0,23,36,.223,.324,.309,.632,80,.294,84,54,4,5,0,4,0,5/H,,paredis01
117,Cody Bellinger*,28,CHC,NL,2.1,129,565,513,72,136,23,3,18,78,9,2,44,89,.265,.324,.427,.751,110,.325,106,219,10,3,0,5,7,89D3/7,,bellico01
118,Byron Buxton,30,MIN,AL,3.6,102,388,355,62,99,27,3,18,56,7,2,20,99,.279,.335,.524,.859,137,.368,136,186,3,11,0,2,1,8/HD,,buxtoby01
119,Lourdes Gurriel Jr.,30,ARI,NL,2.0,131,544,504,72,140,22,1,18,74,7,1,29,100,.278,.322,.433,.754,108,.328,105,218,16,6,0,5,1,*7H/D3,,gurrilo01
120,Cedric Mullins*,29,BAL,AL,2.4,146,496,441,67,102,16,3,18,54,32,6,41,98,.231,.303,.404,.706,106,.320,106,178,1,5,2,2,0,*8H/D,,mullice01
121,Jesús Sánchez*,26,MIA,NL,0.6,147,529,482,57,121,25,1,18,64,15,2,40,137,.251,.313,.419,.732,97,.325,96,202,12,4,1,2,2,*9HD7,,sanchje02
122,Jose Siri,28,TBR,AL,1.9,129,444,398,50,75,16,1,18,47,14,7,31,168,.188,.257,.369,.626,77,.275,75,147,5,7,2,4,0,*8/H3D,,sirijo01
123,Daulton Varsho*,27,TOR,AL,5.0,136,513,459,73,98,21,7,18,58,10,2,48,137,.214,.293,.407,.700,98,.306,94,187,2,4,1,1,1,*87/H9D,,varshda01
124,Jordan Westburg,25,BAL,AL,2.6,106,442,411,57,109,26,5,18,61,6,3,22,95,.265,.313,.484,.797,130,.342,129,199,5,7,1,1,0,54/6D,AS,westbjo01
125,Mike Yastrzemski*,33,SFG,NL,2.4,138,469,423,60,99,16,9,18,57,3,2,38,124,.234,.306,.442,.748,113,.320,110,187,5,6,1,1,1,*9H/81,,yastrmi01
126,Orlando Arcia,29,ATL,NL,0.6,153,590,541,50,118,23,0,17,46,2,0,39,124,.218,.270,.355,.625,73,.278,70,192,16,2,1,7,1,*6,,arciaor01
127,Kerry Carpenter*,26,DET,AL,2.2,85,288,257,36,74,16,5,17,53,0,2,21,73,.288,.347,.588,.935,160,.387,157,151,4,4,0,3,1,9DH/7,,carpeke01
128,Jake Cronenworth*,30,SDP,NL,2.0,154,652,573,72,139,29,3,17,82,5,2,61,117,.243,.326,.393,.718,100,.321,102,225,19,11,1,3,0,34/DH,,croneja01
129,Luis García Jr.*,24,WSN,NL,2.1,138,519,491,56,138,25,1,17,68,22,5,27,83,.281,.318,.440,.758,113,.334,112,216,12,0,0,1,2,*4H/D,,garcilu04
130,Zack Gelof,24,OAK,AL,1.2,136,542,492,59,104,20,2,17,49,25,3,38,185,.211,.271,.364,.635,83,.287,81,179,7,4,3,5,0,*4/H,,gelofza01
131,MJ Melendez*,25,KCR,AL,-0.6,133,443,405,44,85,23,3,17,44,4,4,34,108,.210,.276,.407,.683,89,.294,85,165,3,3,0,0,1,*7H/D93,,melenmj01
132,Nolan Arenado,33,STL,NL,2.5,152,635,578,70,157,23,0,16,71,2,2,44,92,.272,.325,.394,.719,101,.315,99,228,15,5,0,7,2,*5/DH,,arenano01
133,Yainer Diaz,25,HOU,AL,3.3,148,619,585,70,175,29,3,16,84,2,0,24,107,.299,.325,.441,.766,118,.339,120,258,22,2,0,8,1,2D3/H,,diazya02
134,Michael Harris II*,23,ATL,NL,2.8,106,452,424,56,112,14,3,16,48,9,6,21,93,.264,.303,.425,.728,100,.321,103,180,6,4,0,3,1,*8,,harrimi04
135,Kyle Higashioka,34,SDP,NL,1.2,83,259,242,28,53,10,1,16,43,2,0,15,73,.219,.264,.467,.731,99,.321,101,113,3,0,1,1,0,2/H,,higasky01
136,Royce Lewis,25,MIN,AL,0.8,80,318,285,40,68,16,0,16,47,0,0,28,72,.239,.302,.463,.765,111,.322,104,132,5,0,0,5,2,5D/H4,,lewisro02
137,Brandon Marsh*,26,PHI,NL,3.1,133,470,412,55,104,17,3,16,60,18,3,50,154,.252,.333,.425,.757,111,.341,114,175,2,2,1,5,0,*78H/9,,marshbr02
138,J.D. Martinez,36,NYM,NL,0.4,118,486,426,45,99,23,1,16,69,0,0,48,140,.232,.317,.404,.721,105,.319,106,172,17,6,0,2,0,*D/H,,martijd02
139,Jorge Polanco#,30,SEA,AL,1.3,116,461,411,43,88,11,0,16,45,4,2,44,135,.214,.295,.358,.653,93,.294,97,147,16,4,0,2,2,*4/DH,,polanjo01
140,Dansby Swanson,30,CHC,NL,3.6,148,589,531,81,128,26,2,16,66,18,3,53,144,.241,.311,.388,.699,96,.311,94,206,7,2,0,3,2,*6/H,,swansda01
141,Matt Vierling,27,DET,AL,2.9,143,563,515,79,133,28,5,16,57,6,1,40,120,.258,.313,.425,.738,108,.324,107,219,9,3,0,5,1,859H7/D3,,vierlma01
142,Wilyer Abreu*,25,BOS,AL,3.4,130,439,392,59,100,33,2,15,58,8,3,39,124,.255,.323,.464,.788,116,.341,114,182,6,3,0,5,0,*9H/78D,,abreuwi02
143,Alec Bohm,27,PHI,NL,3.1,141,598,546,62,154,44,2,15,95,5,2,40,85,.282,.334,.452,.787,119,.343,119,247,18,6,0,6,2,*53/DH,AS,bohmal01
144,Willson Contreras,32,STL,NL,2.9,84,358,301,48,79,17,0,15,36,4,1,45,96,.262,.380,.468,.848,136,.370,137,141,7,12,0,0,2,2D/H,,contrwi01
145,Tyler Fitzgerald,26,SFG,NL,2.9,94,333,307,52,87,19,2,15,34,17,4,21,105,.283,.336,.505,.841,139,.369,140,155,2,4,0,1,0,6H/8417D3,,fitzgty01
146,Mitch Garver,33,SEA,AL,-0.1,113,430,367,37,63,17,0,15,51,0,0,53,133,.172,.286,.341,.627,85,.282,88,125,9,7,0,3,0,D2/H,,garvemi01
147,Jonathan India,27,CIN,NL,1.6,149,628,527,83,131,28,2,15,58,13,2,77,124,.249,.356,.395,.751,106,.340,109,208,16,15,2,7,0,*4D/H,,indiajo01
