playerID,yearID,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
Wenceel Pérez#,2024,DET,AL,106,369,50,88,15,5,9,34,9,5,28,85,0,1,2,1,5
Jacob Stallings,2024,COL,NL,79,234,30,61,16,1,9,36,0,0,26,63,1,9,1,1,10
Jack Suwinski*,2024,PIT,NL,88,247,29,45,8,0,9,26,9,1,27,79,2,1,1,1,3
Spencer Torkelson,2024,DET,AL,86,326,42,71,20,1,9,33,0,0,29,98,0,4,0,1,6
Danny Jansen,2024,2TM,AL,90,271,35,55,13,0,9,24,0,0,40,61,0,3,0,3,4
Danny Jansen,2024,TOR,AL,62,198,27,42,13,0,6,18,0,0,25,42,0,2,0,3,1
Danny Jansen,2024,BOS,AL,28,73,8,13,0,0,3,6,0,0,15,19,0,1,0,0,3
Connor Norby,2024,2TM,2LG,39,150,29,38,9,0,9,19,3,2,11,52,0,0,0,1,2
Connor Norby,2024,BAL,AL,9,32,3,6,1,0,2,3,0,0,0,12,0,0,0,0,1
Connor Norby,2024,MIA,NL,30,118,26,32,8,0,7,16,3,2,11,40,0,0,0,1,1
Tommy Pham,2024,3TM,2LG,111,418,47,105,19,3,9,38,7,3,35,101,0,2,0,1,5
Tommy Pham,2024,2TM,AL,88,350,40,91,16,2,7,26,7,3,28,85,0,1,0,0,3
Tommy Pham,2024,CHW,AL,70,271,33,72,14,1,5,19,6,3,25,63,0,1,0,0,2
Tommy Pham,2024,STL,NL,23,68,7,14,3,1,2,12,0,0,7,16,0,1,0,1,2
Tommy Pham,2024,KCR,AL,18,79,7,19,2,1,2,7,1,0,3,22,0,0,0,0,1
Miguel Amaya,2024,CHC,NL,113,314,30,72,13,2,8,45,0,0,22,61,0,4,5,2,5
Will Brennan*,2024,CLE,AL,110,321,35,81,11,2,8,30,4,1,18,48,2,3,0,1,8
Jonah Bride,2024,MIA,NL,65,207,26,53,8,0,8,31,0,1,28,50,1,3,0,6,8
Oswaldo Cabrera#,2024,NYY,AL,105,291,45,72,10,0,8,36,4,2,21,61,0,1,2,3,6
Luis Campusano,2024,SDP,NL,91,277,37,63,13,0,8,40,0,0,20,41,0,1,0,1,11
Dominic Canzone*,2024,SEA,AL,67,168,20,33,7,0,8,17,1,0,18,53,2,0,0,2,5
Trent Grisham*,2024,NYY,AL,74,171,20,32,8,0,8,28,1,1,22,52,1,4,1,2,5
Stuart Fairchild,2024,CIN,NL,94,209,33,45,8,0,8,30,13,1,17,60,0,4,2,1,1
Nick Gordon*,2024,MIA,NL,95,260,29,59,11,1,8,32,5,5,11,67,0,1,0,3,5
Yasmani Grandal#,2024,PIT,NL,70,209,22,46,10,0,8,25,1,0,23,45,0,0,3,1,7
David Hamilton*,2024,BOS,AL,98,294,47,73,17,1,8,28,33,4,22,80,0,1,0,0,1
Kyle Isbel*,2024,KCR,AL,131,373,60,87,13,8,8,42,11,2,25,82,0,5,7,2,4
Edouard Julien*,2024,MIN,AL,90,255,35,53,9,0,8,21,6,0,32,98,0,2,0,0,2
Max Kepler*,2024,MIN,AL,105,368,43,93,21,1,8,42,1,0,22,80,0,5,0,3,3
Justyn-Henry Malloy,2024,DET,AL,68,198,18,41,7,1,8,20,1,1,22,81,0,3,0,1,2
Jake McCarthy*,2024,ARI,NL,137,423,64,121,12,7,8,54,25,6,31,77,1,14,5,3,4
Parker Meadows*,2024,DET,AL,76,248,35,58,11,6,8,27,9,4,23,69,0,1,1,1,0
Garrett Mitchell*,2024,MIL,NL,64,184,32,48,11,3,8,21,9,4,23,64,0,1,1,0,1
David Peralta*,2024,SDP,NL,86,224,33,60,11,0,8,27,2,0,20,49,0,2,0,0,3
Anthony Rizzo*,2024,NYY,AL,88,326,35,71,11,0,8,33,0,0,24,63,0,8,0,2,7
Brayan Rocchio#,2024,CLE,AL,139,372,50,78,17,0,8,36,10,6,43,84,1,8,2,5,10
Josh Rojas*,2024,SEA,AL,137,413,48,94,19,2,8,29,10,4,45,106,1,3,1,2,6
Pavin Smith*,2024,ARI,NL,56,128,25,36,11,0,8,33,1,0,17,28,0,0,0,3,4
Tyler Soderstrom*,2024,OAK,AL,55,166,16,38,7,0,8,24,0,0,18,47,1,3,0,1,7
Jose Trevino,2024,NYY,AL,71,203,24,44,5,0,8,28,1,0,19,40,0,2,1,2,12
Jared Triolo,2024,PIT,NL,119,376,40,81,10,1,8,42,8,1,42,110,0,5,0,4,5
Nelson Velázquez,2024,KCR,AL,64,205,31,41,8,1,8,27,2,0,19,61,0,3,0,3,6
LaMonte Wade Jr.*,2024,SFG,NL,112,315,44,83,15,0,8,33,2,1,59,87,5,4,1,3,2
Patrick Wisdom,2024,CHC,NL,71,149,16,27,7,2,8,23,5,0,10,54,0,4,1,1,1
James Wood*,2024,WSN,NL,73,271,39,72,13,3,8,39,14,8,37,88,1,2,0,0,1
Carson Kelly,2024,2TM,AL,88,269,31,64,8,1,8,36,0,0,25,53,0,6,0,1,5
Carson Kelly,2024,DET,AL,60,179,21,43,4,1,7,29,0,0,17,40,0,6,0,1,3
Carson Kelly,2024,TEX,AL,28,90,10,21,4,0,1,7,0,0,8,13,0,0,0,0,2
Kevin Pillar,2024,2TM,AL,95,265,37,65,16,1,8,45,11,3,14,61,0,9,1,3,8
Kevin Pillar,2024,CHW,AL,17,25,1,4,2,0,1,4,2,0,4,8,0,1,1,1,0
Kevin Pillar,2024,LAA,AL,78,240,36,61,14,1,7,41,9,3,10,53,0,8,0,2,8
Isiah Kiner-Falefa,2024,2TM,2LG,128,443,53,121,17,4,8,43,10,2,16,75,0,10,3,2,10
Isiah Kiner-Falefa,2024,TOR,AL,83,257,32,75,8,2,7,33,3,1,13,37,0,6,3,2,9
Isiah Kiner-Falefa,2024,PIT,NL,45,186,21,46,9,2,1,10,7,1,3,38,0,4,0,0,1
Jason Heyward*,2024,2TM,2LG,83,214,31,45,11,2,8,34,5,0,21,50,2,4,0,3,3
Jason Heyward*,2024,LAD,NL,63,173,25,36,10,2,6,28,4,0,17,36,0,4,0,3,3
Jason Heyward*,2024,HOU,AL,20,41,6,9,1,0,2,6,1,0,4,14,2,0,0,0,0
Gio Urshela,2024,2TM,2LG,122,411,33,103,18,1,8,50,0,0,22,67,1,1,0,5,13
Gio Urshela,2024,DET,AL,92,300,25,73,10,1,5,37,0,0,19,49,1,1,0,5,12
Gio Urshela,2024,ATL,NL,30,111,8,30,8,0,3,13,0,0,3,18,0,0,0,0,1
Patrick Bailey#,2024,SFG,NL,116,388,42,90,16,1,7,43,3,0,36,97,0,0,1,6,9
Addison Barger*,2024,TOR,AL,63,191,20,39,11,0,7,28,2,0,11,57,0,1,0,1,1
Mark Canha,2024,2TM,2LG,122,387,45,92,19,0,7,42,6,0,51,95,2,13,0,5,10
Mark Canha,2024,DET,AL,93,320,42,74,17,0,7,38,4,0,42,79,2,11,0,4,9
Mark Canha,2024,SFG,NL,29,67,3,18,2,0,0,4,2,0,9,16,0,2,0,1,1
Victor Caratini#,2024,HOU,AL,82,226,27,62,8,1,7,28,0,1,22,44,1,3,0,3,6
Jake Cave*,2024,COL,NL,118,308,39,78,14,4,7,37,5,2,17,92,1,1,0,3,6
Tyler Freeman,2024,CLE,AL,118,330,48,69,14,1,7,32,11,6,28,53,1,19,3,3,15
Maikel Garcia,2024,KCR,AL,151,561,84,133,27,5,7,58,37,2,38,99,0,0,4,5,6
Josh Jung,2024,TEX,AL,46,178,19,47,5,1,7,16,4,0,8,48,0,1,0,1,1
Starling Marte,2024,NYM,NL,89,322,44,87,12,3,7,40,16,1,25,78,0,3,2,2,8
James McCann,2024,BAL,AL,62,203,26,46,9,0,7,27,1,0,12,52,0,2,0,4,3
Tyler Nevin,2024,OAK,AL,84,236,22,47,9,0,7,18,1,0,25,62,0,5,0,3,5
Ben Rice*,2024,NYY,AL,49,149,20,26,6,0,7,23,0,1,20,46,0,1,0,5,2
Max Schuemann,2024,OAK,AL,129,387,53,84,13,0,7,34,14,1,46,117,0,5,5,4,8
Nick Senzel,2024,2TM,2LG,74,236,25,46,11,0,7,18,1,3,28,61,1,1,1,0,6
Nick Senzel,2024,WSN,NL,64,206,25,43,10,0,7,18,1,3,27,53,1,1,0,0,6
Nick Senzel,2024,CHW,AL,10,30,0,3,1,0,0,0,0,0,1,8,0,0,1,0,0
Donovan Solano,2024,SDP,NL,90,268,30,77,13,0,7,33,1,1,20,60,0,3,0,1,6
Edmundo Sosa,2024,PHI,NL,86,240,37,63,12,4,7,31,7,1,13,62,0,7,1,2,4
Mike Tauchman*,2024,CHC,NL,104,289,50,72,12,1,7,27,6,1,44,67,0,4,0,1,7
Tyrone Taylor,2024,NYM,NL,124,300,46,76,21,3,7,35,10,2,19,76,1,5,1,1,4
Brice Turang*,2024,MIL,NL,150,539,69,137,23,4,7,54,46,6,48,102,1,2,5,3,8
Christian Vázquez,2024,MIN,AL,90,285,28,65,10,0,7,27,3,1,10,63,0,1,4,4,11
Derek Hill,2024,3TM,2LG,50,151,18,37,4,2,7,25,6,2,4,51,0,1,2,1,2
Derek Hill,2024,2TM,NL,34,108,13,26,4,2,4,20,4,1,2,37,0,1,2,1,1
Derek Hill,2024,TEX,AL,16,43,5,11,0,0,3,5,2,1,2,14,0,0,0,0,1
